Slno,MF,Age,ProfessionBusiness,UrbanRural,RecipientOperator,SI,SwBh,Servqual,Sat,PSB,ESB,OSB,Price,SInt
36,Male,32,Employee,Urban,Tata Docomo,5,1,4.299201162,2.87371134,5.511100386,2.337476099,4.107763615,5.804330393,5
37,Male,25,Employee,Rural,Vodafone,3,1,3.386589204,3.021907216,5,2.151529637,3.76786404,5.781876504,4.772835584
38,Male,23,Student,Urban,Vodafone,3,1,4.299201162,2.12628866,5.511100386,4.628107075,2.972190035,5.971130714,3.772835584
39,Male,28,Farmer,Rural,Airtel,3,1,3.126361656,1.413659794,5,2.290630975,3.261877173,5.80032077,5.590945195
40,Male,65,Business,Rural,Airtel,3,1,3.959896716,2.988402062,5.843629344,2.337476099,2.350328312,6.218123496,4.181890389
41,Male,21,Student,Rural,Vodafone,2,1,6.08488663,4.036082474,5,2.151529637,1.793356508,5.617481957,4.772835584
42,Male,30,Business,Rural,Airtel,4,1,5.010489793,1.448453608,2.35472973,4.628107075,3.550405562,5.417802727,6
43,Male,24,Student,Rural,Idea,4,1,1.7723715,2.161082474,5.511100386,2.290630975,3.550405562,6.218123496,6.590945195
44,Male,35,Employee,Rural,Idea,5,1,2.684983458,3.735824742,5,1.662523901,4.329084589,6.382518043,6
45,Male,30,Employee,Urban,Vodafone,5,1,4.259662713,3.573453608,5.843629344,2.476577438,3.772112785,5.80032077,6
46,Male,35,Employee,Urban,Idea,4,1,3.900992496,3.735824742,4.374517375,3.092256214,4.081498648,6,5
47,Male,35,Business,Urban,Vodafone,2,1,3.900992496,3.573453608,5.511100386,2.290630975,2.972190035,6.613472334,4.363780778
48,Male,45,Farmer,Rural,Idea,4,1,3.597595417,2.87371134,5,1.662523901,3.225183469,6.024859663,5.590945195
49,Male,40,Unemployed,Urban,Tata Docomo,4,1,2.953683531,3.021907216,5.511100386,2.476577438,2.350328312,6.218123496,6
50,Male,32,Business,Rural,Vodafone,5,1,2.345679012,2.12628866,5,3.092256214,1.857860178,6.61106656,5.409054805
51,Male,34,Farmer,Rural,Vodafone,5,1,1.59122085,1.413659794,5.843629344,2.337476099,3.550405562,6.607056937,6.409054805
52,Male,22,Student,Rural,Vodafone,5,0,3.165900105,2.988402062,2.35472973,2.151529637,4.118578602,6.38893344,5.409054805
53,Male,42,Business,Urban,Tata Docomo,4,1,3.165900105,2.988402062,5.511100386,4.628107075,1.858246427,6.582197273,5.590945195
54,Male,33,Business,Rural,Vodafone,4,1,4.299201162,3.862113402,5,2.290630975,2.415218231,6.58861267,5
55,Male,41,Farmer,Rural,Vodafone,5,1,3.386589204,3.149484536,5.843629344,2.337476099,4.107763615,6.58861267,3.818109611
56,Male,40,Employee,Rural,Vodafone,5,1,4.299201162,3.826030928,5.332528958,2.151529637,3.76786404,6.19967923,3.818109611
57,Male,40,Employee,Rural,IDEA,5,1,3.126361656,2.87371134,5.843629344,4.628107075,4.107763615,6.392943063,5.409054805
58,Male,26,Employee,Rural,Videocon,4,1,3.959896716,3.148195876,5,2.290630975,3.76786404,6.392943063,6
59,Male,20,Student,Urban,Idea,5,1,6.08488663,2.12628866,2.35472973,1.662523901,2.972190035,5.975140337,5.409054805
60,Male,35,Business,Rural,Airtel,4,1,5.010489793,1.413659794,5.511100386,2.476577438,3.261877173,5.975140337,6
61,Male,26,Farmer,Rural,Vodafone,5,1,1.7723715,2.988402062,5,3.092256214,2.156817304,6.193263833,5.409054805
62,Male,22,Student,Rural,Vodafone,5,1,2.684983458,4.036082474,5.843629344,1.662523901,1.857860178,6,6
63,Male,38,Business,Urban,Reliance,2,1,4.259662713,1.448453608,4.374517375,2.476577438,3.76786404,5.61106656,4.363780778
64,Male,40,Farmer,Rural,Idea,3,1,3.959896716,2.161082474,5.511100386,3.092256214,2.972190035,5.829190056,6.181890389
65,Male,23,Govt Employee,Urban,Tata Docomo,4,1,6.08488663,3.802835052,5,4.628107075,3.068366165,6,5.590945195
66,Male,28,Employee,Rural,Vodafone,4,1,5.010489793,3.574742268,5.511100386,2.290630975,2.156817304,5.80032077,6
67,Male,28,Employee,Urban,Vodafone,5,1,1.7723715,5.161082474,5,2.476577438,1.857860178,6.018444266,5.409054805
68,Male,30,Business,Urban,Vodafone,5,1,2.684983458,5,5.843629344,5.104684512,3.550405562,6.38893344,6.409054805
69,Male,32,Employee,Rural,Vodafone,5,0,4.259662713,3.37628866,5,3.767208413,4.118578602,5.806736167,5.409054805
70,Male,34,Business,Rural,Vodafone,4,1,3.900992496,2.161082474,2.35472973,5.104684512,1.858246427,6.024859663,5.590945195
71,Male,32,Unemployed,Rural,Airtel,4,1,1.59122085,4.699742268,5.511100386,3.767208413,2.415218231,6.806736167,5
72,Male,33,Employee,Rural,Vodafone,5,1,3.165900105,4.055412371,5,2.290630975,4.107763615,6,3.818109611
73,Male,30,Student,Urban,Vodafone,5,1,3.165900105,3.837628866,5.843629344,2.476577438,3.76786404,6,3.818109611
74,Male,30,Farmer,Rural,Idea,4,1,4.299201162,2.539948454,4.374517375,5.104684512,4.107763615,6.781876504,4.181890389
75,Male,48,Govt Employee,Rural,Vodafone,2,1,3.386589204,1.644329897,5.511100386,3.767208413,3.76786404,6.38893344,4.363780778
76,Male,30,Business,Urban,Vodafone,3,1,4.299201162,1.413659794,5,5.104684512,2.972190035,6,5.590945195
77,Male,56,Farmer,Rural,Vodafone,2,1,3.126361656,4.434278351,5.511100386,3.767208413,3.068366165,6.392943063,5.363780778
78,Male,30,Employee,Urban,Tata Docomo,2,1,3.959896716,4.434278351,5,2.662523901,3.76786404,6.19967923,4.772835584
79,Male,30,Student,Rural,Vodafone,4,1,6.08488663,4.826030928,5.843629344,3.489005736,2.972190035,6,6
80,Male,30,Business,Rural,Vodafone,5,1,5.010489793,4.595360825,5,2.337476099,3.068366165,5.975140337,5.409054805
81,Male,20,Student,Urban,Vodafone,5,0,1.7723715,4.826030928,5.511100386,1.662523901,2.156817304,5.975140337,6
82,Male,30,Employee,Urban,Vodafone,5,1,2.684983458,4.307989691,5,2.662523901,1.857860178,5.781876504,6
83,Male,22,Student,Urban,Tata Docomo,4,1,4.259662713,1.413659794,5.843629344,3.489005736,3.550405562,6,5
84,Male,35,Business,Rural,Vodafone,4,1,3.900992496,4.434278351,4.374517375,2.337476099,4.118578602,5.61106656,5.590945195
85,Male,35,Employee,Rural,Vodafone,2,1,4.259662713,4.307989691,5.511100386,2.151529637,1.858246427,5.61106656,4.772835584
86,Male,19,Student,Rural,Tata Docomo,4,1,3.900992496,4.826030928,5,2.290630975,2.415218231,5.829190056,6.590945195
87,Male,29,Farmer,Rural,Vodafone,4,1,3.597595417,1.413659794,5.511100386,2.337476099,4.107763615,6.018444266,6
88,Male,33,Business,Rural,Vodafone,5,1,2.953683531,4.434278351,5,2.151529637,3.76786404,6.018444266,4.227164416
89,Male,20,Student,Rural,Vodafone,4,1,2.345679012,4.307989691,5.843629344,4.628107075,4.107763615,6.018444266,6
90,Female,23,Student,Rural,Tata Docomo,4,1,1.59122085,4.826030928,2.35472973,2.290630975,3.76786404,6.413793103,6.590945195
91,Male,40,Employee,Urban,Vodafone,5,1,3.165900105,4.469072165,5.511100386,1.662523901,2.972190035,6.413793103,6
92,Male,20,Student,Rural,Airtel,3,0,3.165900105,4.826030928,5,2.476577438,3.068366165,6.413793103,3.772835584
93,Male,43,Farmer,Rural,Vodafone,4,1,4.299201162,4.307989691,5.843629344,3.092256214,2.156817304,6.806736167,5.590945195
94,Male,24,Govt Employee,Rural,Tata Docomo,4,1,3.386589204,1.413659794,5.332528958,3.767208413,1.857860178,6.806736167,6
95,Female,25,Business,Rural,Tata Docomo,5,0,4.299201162,4.434278351,5.843629344,1.662523901,3.550405562,6.806736167,5.409054805
96,Male,30,Farmer,Rural,Idea,5,1,3.126361656,4.307989691,5,2.476577438,3.550405562,6.781876504,6.409054805
97,Male,42,Business,Rural,Airtel,5,1,3.900992496,4.826030928,2.35472973,3.092256214,4.329084589,6.781876504,5.409054805
98,Male,32,Govt Employee,Urban,Airtel,4,1,3.597595417,2.380154639,5.511100386,4.628107075,3.772112785,6.781876504,5.590945195
99,Male,24,Business,Rural,Airtel,4,1,2.953683531,4.434278351,5,2.290630975,3.76786404,6.781876504,5
100,Male,23,Student,Rural,Aircel,5,1,2.345679012,4.538659794,5.843629344,2.476577438,2.972190035,6.392943063,3.818109611
101,Male,28,Business,Rural,Vodafone,5,1,1.59122085,4.895618557,4.374517375,5.104684512,3.068366165,6.392943063,3.818109611
102,Male,25,Student,Rural,Vodafone,5,1,3.165900105,4.307989691,5.511100386,3.767208413,2.156817304,6.174819567,5
103,Male,38,Farmer,Rural,Tata Docomo,3,1,5.010489793,4.826030928,5,5.104684512,1.857860178,6.193263833,4.772835584
104,Male,22,Employee,Urban,Aircel,3,1,1.7723715,4.307989691,5.511100386,3.767208413,3.550405562,6.193263833,3.772835584
105,Male,30,Employee,Rural,Vodafone,3,1,2.684983458,1.413659794,5,2.290630975,4.118578602,6.41138733,5.590945195
106,Male,42,Farmer,Rural,Idea,4,0,4.259662713,4.434278351,5.843629344,2.476577438,1.858246427,5.829190056,5.590945195
107,Male,37,Business,Rural,Vodafone,4,1,3.900992496,4.307989691,5,5.104684512,2.415218231,6.218123496,6
108,Male,38,Employee,Rural,Vodafone,5,1,1.59122085,4.595360825,5.843629344,3.767208413,4.107763615,6.218123496,5.409054805
109,Male,21,Student,Rural,Tata Docomo,5,1,3.900992496,4.307989691,4.374517375,5.104684512,3.76786404,6.407377706,6.409054805
110,Male,52,Business,Rural,Airtel,5,1,3.597595417,1.413659794,5.511100386,3.767208413,4.107763615,6.607056937,5.409054805
111,Male,27,Employee,Rural,Vodafone,4,1,2.953683531,4.434278351,5,2.662523901,3.76786404,6.607056937,5.590945195
112,Male,45,Govt Employee,Urban,Tata Docomo,4,0,2.345679012,4.307989691,5,3.489005736,2.972190035,6.613472334,5
113,Male,27,Farmer,Rural,IDEA,5,1,1.59122085,4.826030928,5,2.337476099,3.068366165,6.806736167,3.818109611
114,Male,30,Farmer,Rural,Idea,5,1,3.165900105,1.413659794,5.332528958,2.151529637,2.156817304,6.806736167,3.818109611
115,Male,30,Employee,Rural,Vodafone,3,1,3.165900105,4.434278351,3.977799228,4.628107075,1.857860178,7,4.181890389
116,Male,42,Student,Rural,Aircel,4,1,4.299201162,4.307989691,3.977799228,2.290630975,3.76786404,7,5.590945195
117,Male,34,Business,Rural,Idea,4,1,3.386589204,4.826030928,3.977799228,2.476577438,3.76786404,7,4.181890389
118,Male,25,Student,Rural,Idea,4,1,3.597595417,4.469072165,5.332528958,5.104684512,4.107763615,7,5.590945195
119,Male,42,Farmer,Urban,Vodafone,4,1,2.953683531,4.826030928,4.374517375,3.767208413,1.858246427,7,4.181890389
120,Male,42,Farmer,Rural,Vodafone,2,1,2.345679012,4.307989691,5.511100386,3.767208413,2.415218231,7,4.363780778
121,Male,45,Unemployed,Rural,Airtel,3,1,1.59122085,1.413659794,5,2.662523901,4.107763615,6.781876504,5.590945195
122,Male,30,Employee,Rural,Tata Docomo,2,1,3.165900105,4.434278351,5,3.489005736,3.76786404,6.781876504,5.363780778
123,Male,45,Farmer,Rural,Reliance,2,1,5.010489793,4.307989691,4.488899614,2.337476099,4.107763615,6.781876504,4.772835584
124,Male,45,Farmer,Rural,Vodafone,3,1,1.7723715,4.826030928,5.843629344,2.151529637,3.76786404,6.781876504,4.772835584
125,Male,40,Farmer,Rural,Idea,4,1,2.684983458,2.380154639,2.35472973,4.628107075,2.972190035,6.392943063,4.181890389
126,Male,30,Employee,Rural,Airtel,4,1,4.259662713,4.434278351,5.511100386,2.290630975,3.068366165,6.392943063,5.590945195
127,Male,33,Employee,Urban,Vodafone,2,1,3.900992496,4.538659794,5,3.489005736,2.156817304,6.392943063,4.363780778
128,Male,22,Business,Rural,Idea,3,1,4.259662713,4.895618557,5.843629344,2.337476099,1.857860178,6.193263833,3.772835584
